id,tipo,nome,categoria
1,O,Abnegação,CONSCIENCIALIDADE
2,O,Acalmia,ANTIEMOCIONALIDADE
3,O,Acuidade,CONSCIENCIALIDADE
4,O,Adaptabilidade,CONSCIENCIALIDADE
5,O,Afabilidade,CONSCIENCIALIDADE
6,O,Afetuosidade,CONSCIENCIALIDADE
7,O,Afinco,CONSCIENCIALIDADE
8,O,Aglutinação,CONSCIENCIALIDADE
9,O,Agradabilidade,CONSCIENCIALIDADE
10,O,Alegria,CONSCIENCIALIDADE
11,O,Altruísmo,CONSCIENCIALIDADE
12,O,Amizade,CONSCIENCIALIDADE
13,O,Amorosidade,CONSCIENCIALIDADE
14,O,Analiticidade,CONSCIENCIALIDADE
15,O,Ânimo,CONSCIENCIALIDADE
16,O,Antiofensividade,ANTIEMOCIONALIDADE
17,O,Argúcia,CONSCIENCIALIDADE
18,O,Argumentabilidade,COMUNICABILIDADE
19,O,Assertividade,CONSCIENCIALIDADE
20,O,Atenção,PRIORIZAÇÃO
21,O,Audácia,CONSCIENCIALIDADE
22,O,Autenticidade,CONSCIENCIALIDADE
23,O,Autesforço,CONSCIENCIALIDADE
24,O,Autocrítica,CONSCIENCIALIDADE
25,O,Autodecisão,CONSCIENCIALIDADE
26,O,Autodisciplina,PRIORIZAÇÃO
27,O,Autoimperdoamento,CONSCIENCIALIDADE
28,O,Autonomia,CONSCIENCIALIDADE
29,O,Autoridade,LIDERANÇA
30,O,Autossegurança,CONSCIENCIALIDADE
31,O,Benquerença,CONSCIENCIALIDADE
32,O,Bibliofilia,CONSCIENCIALIDADE
33,O,Bom humor,CONSCIENCIALIDADE
34,O,Bondade,CONSCIENCIALIDADE
35,O,Candura,CONSCIENCIALIDADE
36,O,Caráter,CONSCIENCIALIDADE
37,O,Carisma,LIDERANÇA
38,O,Cautela,CONSCIENCIALIDADE
39,O,Celeridade,CONSCIENCIALIDADE
40,O,Cientificidade,CONSCIENCIALIDADE
41,O,Civilidade,INVULGARIDADE
42,O,Clareza,COMUNICABILIDADE
43,O,Comedimento,CONSCIENCIALIDADE
44,O,Competência,CONSCIENCIALIDADE
45,O,Comprometimento,CONSCIENCIALIDADE
46,O,Concentração,CONSCIENCIALIDADE
47,O,Concessão,CONSCIENCIALIDADE
48,O,Confiabilidade,COERÊNCIA
49,O,Confiança,CONSCIENCIALIDADE
50,O,Constância,PRIORIZAÇÃO
51,O,Convivialidade,UNIVERSALIDADE
52,O,Cooperatividade,CONSCIENCIALIDADE
53,O,Coragem,CONSCIENCIALIDADE
54,O,Cordialidade,CONSCIENCIALIDADE
55,O,Cosmoética,COERÊNCIA
56,O,Cosmopolitanismo,UNIVERSALIDADE
57,O,Credibilidade,COERÊNCIA
58,O,Criatividade,CONSCIENCIALIDADE
59,O,Criteriosidade,CONSCIENCIALIDADE
60,O,Criticidade,CONSCIENCIALIDADE
61,O,Curiosidade,CONSCIENCIALIDADE
62,O,Decisão,CONSCIENCIALIDADE
63,O,Dedicação,CONSCIENCIALIDADE
64,O,Defensibilidade,CONSCIENCIALIDADE
65,O,Desapego,CONSCIENCIALIDADE
66,O,Despojamento,CONSCIENCIALIDADE
67,O,Detalhismo,PRIORIZAÇÃO
68,O,Determinação,PRIORIZAÇÃO
69,O,Didática,COMUNICABILIDADE
70,O,Dignidade,CONSCIENCIALIDADE
71,O,Dinamismo,CONSCIENCIALIDADE
72,O,Diplomacia,CONSCIENCIALIDADE
73,O,Disciplina,PRIORIZAÇÃO
74,O,Discrição,CONSCIENCIALIDADE
75,O,Disposição,CONSCIENCIALIDADE
76,O,Disponibilidade,CONSCIENCIALIDADE
77,O,Distinção,INVULGARIDADE
78,O,Economicidade,CONSCIENCIALIDADE
79,O,Educação,INVULGARIDADE
80,O,Eficiência,PRIORIZAÇÃO
81,O,Elegância,INVULGARIDADE
82,O,Eloquência,COMUNICABILIDADE
83,O,Empatia,CONSCIENCIALIDADE
84,O,Empirismo,CONSCIENCIALIDADE
85,O,Empreendedorismo,CONSCIENCIALIDADE
86,O,Engenhosidade,CONSCIENCIALIDADE
87,O,Epicentrismo,LIDERANÇA
88,O,Equanimidade,ANTIEMOCIONALIDADE
89,O,Equilíbrio,ANTIEMOCIONALIDADE
90,O,Erudição,INVULGARIDADE
91,O,Escrita,COMUNICABILIDADE
92,O,Estabilidade,CONSCIENCIALIDADE
93,O,Estética,COERÊNCIA
94,O,Estudiosidade,CONSCIENCIALIDADE
95,O,Exemplarismo,LIDERANÇA
96,O,Experimentação,CONSCIENCIALIDADE
97,O,Extroversão,CONSCIENCIALIDADE
98,O,Firmeza,CONSCIENCIALIDADE
99,O,Fitoconvivialidade,UNIVERSALIDADE
100,O,Flexibilidade,CONSCIENCIALIDADE
101,O,Foco,PRIORIZAÇÃO
102,O,Fortaleza,CONSCIENCIALIDADE
103,O,Franqueza,COMUNICABILIDADE
104,O,Generosidade,UNIVERSALIDADE
105,O,Gratidão,CONSCIENCIALIDADE
106,O,Harmonia,CONSCIENCIALIDADE
107,O,Heteroperdão,CONSCIENCIALIDADE
108,O,Histrionismo,CONSCIENCIALIDADE
109,O,Hombridade,CONSCIENCIALIDADE
110,O,Homeostase,BIOENERGÉTICA
111,O,Honestidade,COERÊNCIA
112,O,Idoneidade,COERÊNCIA
113,O,Imparcialidade,COERÊNCIA
114,O,Imperturbabilidade,ANTIEMOCIONALIDADE
115,O,Inabalabilidade,CONSCIENCIALIDADE
116,O,Independência,CONSCIENCIALIDADE
117,O,Indiscrição,CONSCIENCIALIDADE
118,O,Inovação,CONSCIENCIALIDADE
119,O,Integridade,COERÊNCIA
120,O,Inteireza,CONSCIENCIALIDADE
121,O,Intelectualidade,CONSCIENCIALIDADE
122,O,Inteligência,CONSCIENCIALIDADE
123,O,Interatividade,CONSCIENCIALIDADE
124,O,Inventividade,CONSCIENCIALIDADE
125,O,Justiça,COERÊNCIA
126,O,Justeza,COERÊNCIA
127,O,Lealdade,CONSCIENCIALIDADE
128,O,Lhaneza,CONSCIENCIALIDADE
129,O,Liderança,LIDERANÇA
130,O,Lisura,COERÊNCIA
131,O,Logicidade,CONSCIENCIALIDADE
132,O,Longevidade,CONSCIENCIALIDADE
133,O,Loquacidade,COMUNICABILIDADE
134,O,Maleabilidade,CONSCIENCIALIDADE
135,O,Maturidade,CONSCIENCIALIDADE
136,O,Minuciosidade,PRIORIZAÇÃO
137,O,Memória,CONSCIENCIALIDADE
138,O,Modéstia,CONSCIENCIALIDADE
139,O,Moralidade,INVULGARIDADE
140,O,Morigeração,CONSCIENCIALIDADE
141,O,Motivação,CONSCIENCIALIDADE
142,O,Objetividade,PRIORIZAÇÃO
143,O,Observação,CONSCIENCIALIDADE
144,O,Obstinação,CONSCIENCIALIDADE
145,O,Operosidade,PRIORIZAÇÃO
146,O,Ordenação,PRIORIZAÇÃO
147,O,Originalidade,INVULGARIDADE
148,O,Otimismo,CONSCIENCIALIDADE
149,O,Paciência,ANTIEMOCIONALIDADE
150,O,Pacificidade,CONSCIENCIALIDADE
151,O,Parcimônia,PRIORIZAÇÃO
152,O,Perseverança,PRIORIZAÇÃO
153,O,Persistência,PRIORIZAÇÃO
154,O,Pesquisística,CONSCIENCIALIDADE
155,O,Pertinácia,CONSCIENCIALIDADE
156,O,Pioneirismo,CONSCIENCIALIDADE
157,O,Planejamento,PRIORIZAÇÃO
158,O,Polidez,INVULGARIDADE
159,O,Poliglotismo,UNIVERSALIDADE
160,O,Ponderação,CONSCIENCIALIDADE
161,O,Pontualidade,PRIORIZAÇÃO
162,O,Pragmatismo,PRIORIZAÇÃO
163,O,Precisão,PRIORIZAÇÃO
164,O,Presença,LIDERANÇA
165,O,Prestimosidade,LIDERANÇA
166,O,Proatividade,PRIORIZAÇÃO
167,O,Probidade,COERÊNCIA
168,O,Produtividade,PRIORIZAÇÃO
169,O,Profissionalidade,CONSCIENCIALIDADE
170,O,Prospectiva,CONSCIENCIALIDADE
171,O,Prosperidade,CONSCIENCIALIDADE
172,O,Prudência,PRIORIZAÇÃO
173,O,Psicomotricidade,SOMA
174,O,Racionalidade,CONSCIENCIALIDADE
175,O,Realismo,CONSCIENCIALIDADE
176,O,Reflexão,CONSCIENCIALIDADE
177,O,Resiliência,CONSCIENCIALIDADE
178,O,Resolutividade,CONSCIENCIALIDADE
179,O,Respeito,CONSCIENCIALIDADE
180,O,Retidão,COERÊNCIA
181,O,Retratabilidade,CONSCIENCIALIDADE
182,O,Sanidade,SOMA
183,O,Saúde,SOMA
184,O,Sensatez,CONSCIENCIALIDADE
185,O,Sensibilidade,CONSCIENCIALIDADE
186,O,Serenidade,ANTIEMOCIONALIDADE
187,O,Seriedade,CONSCIENCIALIDADE
188,O,Simpatia,CONSCIENCIALIDADE
189,O,Sinceridade,COMUNICABILIDADE
190,O,Sintaxidade,CONSCIENCIALIDADE
191,O,Sociabilidade,UNIVERSALIDADE
192,O,Solidariedade,UNIVERSALIDADE
193,O,Tenacidade,CONSCIENCIALIDADE
194,O,Tolerância,CONSCIENCIALIDADE
195,O,Transparência,COMUNICABILIDADE
196,O,Vanguardismo,INVULGARIDADE
197,O,Versatilidade,INVULGARIDADE
198,O,Vigor,SOMA
199,O,Vitalidade,SOMA
200,O,Zooconvivialidade,UNIVERSALIDADE
1,A,Abalabilidade,CONSCIENCIALIDADE
2,A,Abatimento,CONSCIENCIALIDADE
3,A,Abulia,CONSCIENCIALIDADE
4,A,Abusividade,CONSCIENCIALIDADE
5,A,Acanhamento,CONSCIENCIALIDADE
6,A,Achismo,CONSCIENCIALIDADE
7,A,Acídia,CONSCIENCIALIDADE
8,A,Acobertamento,CONSCIENCIALIDADE
9,A,Acrasia,CONSCIENCIALIDADE
10,A,Acriticismo,CONSCIENCIALIDADE
11,A,Alexitimia,CONSCIENCIALIDADE
12,A,Alienação,CONSCIENCIALIDADE
13,A,Amaurose,CONSCIENCIALIDADE
14,A,Amoralidade,INVULGARIDADE
15,A,Ansiosismo,ANTIEMOCIONALIDADE
16,A,Antagonismo,CONSCIENCIALIDADE
17,A,Antipatia,CONSCIENCIALIDADE
18,A,Anticosmoética,COERÊNCIA
19,A,Apatia,ANTIEMOCIONALIDADE
20,A,Apedeutismo,CONSCIENCIALIDADE
21,A,Apego,CONSCIENCIALIDADE
22,A,Apriorismo,CONSCIENCIALIDADE
23,A,Ardileza,CONSCIENCIALIDADE
24,A,Arrogância,LIDERANÇA
25,A,Assedialidade,CONSCIENCIALIDADE
26,A,Atraso,PRIORIZAÇÃO
27,A,Aturdimento,CONSCIENCIALIDADE
28,A,Austeridade,CONSCIENCIALIDADE
29,A,Autismo,CONSCIENCIALIDADE
30,A,Autocracia,CONSCIENCIALIDADE
31,A,Autoritarismo,CONSCIENCIALIDADE
32,A,Autodepreciação,CONSCIENCIALIDADE
33,A,Avareza,CONSCIENCIALIDADE
34,A,Bajulação,CONSCIENCIALIDADE
35,A,Beligerância,COMUNICABILIDADE
36,A,Birra,CONSCIENCIALIDADE
37,A,Bradipsiquismo,CONSCIENCIALIDADE
38,A,Brutalidade,CONSCIENCIALIDADE
39,A,Cabotinismo,CONSCIENCIALIDADE
40,A,Calúnia,COMUNICABILIDADE
41,A,Carrancismo,CONSCIENCIALIDADE
42,A,Cascagrossismo,CONSCIENCIALIDADE
43,A,Castidade,CONSCIENCIALIDADE
44,A,Cinismo,COERÊNCIA
45,A,Criminalidade,COERÊNCIA
46,A,Cobiça,CONSCIENCIALIDADE
47,A,Comodismo,PRIORIZAÇÃO
48,A,Conflitividade,CONSCIENCIALIDADE
49,A,Conservantismo,CONSCIENCIALIDADE
50,A,Corruptibilidade,COERÊNCIA
51,A,Covardia,LIDERANÇA
52,A,Demagogismo,LIDERANÇA
53,A,Dependência,CONSCIENCIALIDADE
54,A,Depressão,CONSCIENCIALIDADE
55,A,Desamor,CONSCIENCIALIDADE
56,A,Desatenção,PRIORIZAÇÃO
57,A,Desconcentração,PRIORIZAÇÃO
58,A,Desdém,CONSCIENCIALIDADE
59,A,Desfaçatez,CONSCIENCIALIDADE
60,A,Deslealdade,CONSCIENCIALIDADE
61,A,Desleixo,CONSCIENCIALIDADE
62,A,Desmedimento,CONSCIENCIALIDADE
63,A,Desmotivação,CONSCIENCIALIDADE
64,A,Desonestidade,COERÊNCIA
65,A,Desorganização,PRIORIZAÇÃO
66,A,Desprezo,CONSCIENCIALIDADE
67,A,Despriorização,PRIORIZAÇÃO
68,A,Difamação,COMUNICABILIDADE
69,A,Discriminação,CONSCIENCIALIDADE
70,A,Dispersão,PRIORIZAÇÃO
71,A,Dissimulação,COERÊNCIA
72,A,Distimia,ANTIEMOCIONALIDADE
73,A,Distracção,CONSCIENCIALIDADE
74,A,Dramatização,COMUNICABILIDADE
75,A,Egoísmo,CONSCIENCIALIDADE
76,A,Eletronótica,CONSCIENCIALIDADE
77,A,Elitismo,UNIVERSALIDADE
78,A,Emocionalismo,CONSCIENCIALIDADE
79,A,Ensimesmamento,CONSCIENCIALIDADE
80,A,Esnobismo,UNIVERSALIDADE
81,A,Estagnação,CONSCIENCIALIDADE
82,A,Estorvamento,CONSCIENCIALIDADE
83,A,Estreiteza,CONSCIENCIALIDADE
84,A,Exacerbação,CONSCIENCIALIDADE
85,A,Exagero,CONSCIENCIALIDADE
86,A,Extravangância,CONSCIENCIALIDADE
87,A,Falaciosismo,CONSCIENCIALIDADE
88,A,Fechadismo,UNIVERSALIDADE
89,A,Fobia,CONSCIENCIALIDADE
90,A,Fragilidade,SOMA
91,A,Fraqueza,SOMA
92,A,Ganância,CONSCIENCIALIDADE
93,A,Grosseirismo,COMUNICABILIDADE
94,A,Gurulatria,CONSCIENCIALIDADE
95,A,Hesitação,CONSCIENCIALIDADE
96,A,Hipercriticismo,CONSCIENCIALIDADE
97,A,Hipersensibilidade,ANTIEMOCIONALIDADE
98,A,Hipocrisia,COERÊNCIA
99,A,Hipomnésia,CONSCIENCIALIDADE
100,A,Humildade,SOMA
101,A,Ideologismo,CONSCIENCIALIDADE
102,A,Ignorantismo,CONSCIENCIALIDADE
103,A,Imoralidade,INVULGARIDADE
104,A,Impaciência,ANTIEMOCIONALIDADE
105,A,Imperdoamento,CONSCIENCIALIDADE
106,A,Impertinência,CONSCIENCIALIDADE
107,A,Imprecisão,PRIORIZAÇÃO
108,A,Imprudência,PRIORIZAÇÃO
109,A,Impulsividade,CONSCIENCIALIDADE
110,A,Inadaptabilidade,CONSCIENCIALIDADE
111,A,Incompetência,CONSCIENCIALIDADE
112,A,Incompreensão,CONSCIENCIALIDADE
113,A,Indelicadeza,CONSCIENCIALIDADE
114,A,Indiferença,CONSCIENCIALIDADE
115,A,Indisciplina,PRIORIZAÇÃO
116,A,Infantilidade,CONSCIENCIALIDADE
117,A,Inibição,CONSCIENCIALIDADE
118,A,Insanidade,SOMA
119,A,Insatisfação,CONSCIENCIALIDADE
120,A,Insegurança,CONSCIENCIALIDADE
121,A,Insensibilidade,CONSCIENCIALIDADE
122,A,Instabilidade,CONSCIENCIALIDADE
123,A,Instintividade,CONSCIENCIALIDADE
124,A,Interiorose,CONSCIENCIALIDADE
125,A,Intolerância,CONSCIENCIALIDADE
126,A,Intransigência,CONSCIENCIALIDADE
127,A,Intriga,CONSCIENCIALIDADE
128,A,Introversão,CONSCIENCIALIDADE
129,A,Inveja,CONSCIENCIALIDADE
130,A,Ironia,COMUNICABILIDADE
131,A,Irracionalidade,CONSCIENCIALIDADE
132,A,Irritabilidade,ANTIEMOCIONALIDADE
133,A,Maldade,CONSCIENCIALIDADE
134,A,Malquerença,CONSCIENCIALIDADE
135,A,Manipulação,LIDERANÇA
136,A,Materialismo,CONSCIENCIALIDADE
137,A,Mau humor,CONSCIENCIALIDADE
138,A,Misticismo,CONSCIENCIALIDADE
139,A,Monoideísmo,CONSCIENCIALIDADE
140,A,Morbidez,SOMA
141,A,Murismo,CONSCIENCIALIDADE
142,A,Negligência,CONSCIENCIALIDADE
143,A,Neofobia,UNIVERSALIDADE
144,A,Obcecacão,CONSCIENCIALIDADE
145,A,Obnubilação,CONSCIENCIALIDADE
146,A,Obtusidade,CONSCIENCIALIDADE
147,A,Ódio,CONSCIENCIALIDADE
148,A,Ofensividade,COMUNICABILIDADE
149,A,Orgulho,CONSCIENCIALIDADE
150,A,Pedantismo,CONSCIENCIALIDADE
151,A,Perdularismo,CONSCIENCIALIDADE
152,A,Peremptoriedade,CONSCIENCIALIDADE
153,A,Perfeccionismo,CONSCIENCIALIDADE
154,A,Perfídia,COERÊNCIA
155,A,Personalismo,LIDERANÇA
156,A,Perturbabilidade,CONSCIENCIALIDADE
157,A,Perversão,CONSCIENCIALIDADE
158,A,Pessimismo,CONSCIENCIALIDADE
159,A,Petulância,CONSCIENCIALIDADE
160,A,Plágio,COERÊNCIA
161,A,Politicagem,CONSCIENCIALIDADE
162,A,Possessividade,CONSCIENCIALIDADE
163,A,Preconceito,UNIVERSALIDADE
164,A,Preguiça,PRIORIZAÇÃO
165,A,Prepotência,LIDERANÇA
166,A,Presunção,CONSCIENCIALIDADE
167,A,Procrastinação,PRIORIZAÇÃO
168,A,Prolixidade,COMUNICABILIDADE
169,A,Promiscuidade,CONSCIENCIALIDADE
170,A,Proselitismo,UNIVERSALIDADE
171,A,Prostração,CONSCIENCIALIDADE
172,A,Psicopatia,ANTIEMOCIONALIDADE
173,A,Pusilanimidade,CONSCIENCIALIDADE
174,A,Raiva,ANTIEMOCIONALIDADE
175,A,Rancor,ANTIEMOCIONALIDADE
176,A,Reatividade,CONSCIENCIALIDADE
177,A,Repressão,CONSCIENCIALIDADE
178,A,Revanchismo,ANTIEMOCIONALIDADE
179,A,Revolta,ANTIEMOCIONALIDADE
180,A,Rigidez,CONSCIENCIALIDADE
181,A,Riscomania,CONSCIENCIALIDADE
182,A,Rispidez,COMUNICABILIDADE
183,A,Sadismo,CONSCIENCIALIDADE
184,A,Soberba,UNIVERSALIDADE
185,A,Soleŕcia,CONSCIENCIALIDADE
186,A,Sectarismo,UNIVERSALIDADE
187,A,Severidade,CONSCIENCIALIDADE
188,A,Submissão,LIDERANÇA
189,A,Taconismo,CONSCIENCIALIDADE
190,A,Teimosia,CONSCIENCIALIDADE
191,A,Tibieza,CONSCIENCIALIDADE
192,A,Timidez,CONSCIENCIALIDADE
193,A,Tradicionalismo,UNIVERSALIDADE
194,A,Tristeza,ANTIEMOCIONALIDADE
195,A,Truculência,CONSCIENCIALIDADE
196,A,Usurpação,COERÊNCIA
197,A,Vaidade,CONSCIENCIALIDADE
198,A,Vingança,CONSCIENCIALIDADE
199,A,Vitimização,CONSCIENCIALIDADE
200,A,Zoofobia,UNIVERSALIDADE
